unit,chiplet,cell_count,workarea_path
ccoreb,HPORT,3699592,/home/scratch.arcohen_vlsi_1/agur/channels/ccoreb_0812/ccoreb_rbv_2025_12_07_condb_int4_2025_12_04_1_BE_PFNL_snap_ref_rerun_pnr_with_prev_setup/pnr_flow/nv_flow/ccoreb/ipo1623/nbu_signoff[0m
eds,QNS,3482961,/home/scratch.nwasserman_vlsi/agur/eds/dec09_20251207_int4_202512041_PFNL_snap/pnr_flow/nv_flow/eds/ipo1077/nbu_signoff[0m
dql,QNS,2834767,/home/scratch.aazran_vlsi/dql/pfnl/071225_pfnl_v0/pnr_flow/nv_flow/dql/ipo1051/nbu_signoff[0m
dqavo,QNS,2832786,/home/scratch.gnarla_vlsi_1/agur/PFNL_official/dqavo/dqavo_rbv_2025_12_09_agur_condb_int4_2025_12_04_1_PFNL_snap_power_aware/pnr_flow/nv_flow/dqavo/ipo3001_eco/nbu_signoff[0m
glc,NDQ,2793070,/home/scratch.ynaim_vlsi_1/agur/PFNL/glc/glc.glc_rbv_2025_12_08_agur_condb_int4_2025_12_04_1_PFNL_snap[0m
dqavi,QNS,2604898,/home/scratch.abarman_vlsi_2/agur/OFFICAL_APPROVED_PFNL/DQAVI/RUN2_OLD_LIBRARY/dqavi_rbv_2025_12_09_agur_condb_int4_2025_12_04_1_PFNL_snap_oldlib_run2/pnr_flow/nv_flow/dqavi/ipo1001_eco3/nbu_signoff[0m
pscc,NDQ,2592996,/home/scratch.dtraitelovic_vlsi_1/agur/pscc/pscc_rbv_2025_12_07_agur_condb_int4_2025_12_04_1_PFNL_snap/pnr_flow/nv_flow/pscc/ipo1022/nbu_signoff[0m
psca,NDQ,2533450,/home/scratch.nkahaz_vlsi_1/ww51_2_pfnl/psca_rbv_2025_12_08_agur_condb_pfnl_2025_12_08_1_psc_p2p_PFNL_snap/pnr_flow/nv_flow/psca/ipo1126/nbu_signoff[0m
ir,NDQ,2503211,/home/scratch.thadad_vlsi_1/agur/PFNL/ir/ir_agur_condb_int4_2025_12_04_1_12_10_libsnap_pnr/pnr_flow/nv_flow/ir/ipo1072/nbu_signoff[0m
ribs,NDQ,2456004,/home/scratch.ynaim_vlsi/agur/PFNL/ribs/ribs.ribs_rbv_2025_12_07_condb_int4_2025_12_04_1_PFNL_snap_DEC15[0m
dqamci,QNS,2370772,/home/scratch.mlanzerer_vlsi/dqamci_dir/dqamci_rbv_2025_12_07_agur_condb_int4_2025_12_04_1_PFNL_snap/pnr_flow/nv_flow/dqamci/ipo1182/nbu_signoff[0m
dqamco,QNS,2348060,/home/scratch.siddharthasa_vlsi/agur/PFNL/dqamco/dqamco_rbv_2025_12_07_agur_condb_int4_2025_12_04_1_PFNL_snap_POWER/pnr_flow/nv_flow/dqamco/ipo1005_eco_ref2/nbu_signoff[0m
dqamdo,QNS,2275276,/home/scratch.abarman_vlsi_2/agur/OFFICAL_APPROVED_PFNL/DQAMDO/run1/dqamdo_rbv_2025_12_07_agur_condb_int4_2025_12_04_1_PFNL_snap_run1/pnr_flow/nv_flow/dqamdo/ipo1003_eco2/nbu_signoff[0m
ccoree,HPORT,2258841,/home/scratch.ykatzav_vlsi_1/agur/ccoree/ccoree_rbv_2025_12_07_condb_int4_2025_12_04_1_BE_PFNL_snap_ww49/pnr_flow/nv_flow/ccoree/ipo1458/nbu_signoff[0m
yu_mng,TOP_YC,2223118,/home/scratch.kratikak_vlsi/agur/yu_mng_agur_rbv_2025_12_07_condb_int4_2025_12_04_1_PFNL_snap_2_new_flow[0m
ccored,HPORT,2028401,/home/scratch.brachas_vlsi_2/agur/PFNL/ccored/ccored_rbv_2025_12_07_condb_int4_2025_12_04_1_BE_PFNL_snap_test_2_dec01_cfg/pnr_flow/nv_flow/ccored/ipo1500/nbu_signoff[0m
dqai,QNS,2024986,/home/scratch.mlanzerer_vlsi/dqai_dir/power_exp/pnr_flow/nv_flow/dqai/ipo1142/nbu_signoff[0m
lnd,CPORT,2003206,/home/scratch.shlomoc_vlsi_1/agur/lnd/run_10_12_2025_lnd_rbv_2025_12_09_pfnl_f/pnr_flow/nv_flow/lnd/ipo1010/nbu_signoff[0m
pscd,NDQ,1976106,/home/scratch.gibell_vlsi_1/agur/official_pfnl/pscd/pscd_rbv_2025_12_07_Dec25_gb/pnr_flow/nv_flow/pscd/ipo9025/nbu_signoff[0m
dqap,QNS,1940109,/home/scratch.drazmizrahi_vlsi_1/dqap/pfnl_07_12/pnr_flow/nv_flow/dqap/ipo1044_on_1043_for_xcap/nbu_signoff[0m
hib,TCB,1896092,/home/scratch.tmazor_vlsi/agur/hib_rbv_2025_12_08_no_hbr_slcg_agur_condb_int4_2025_12_04_1_FPNL_snap/pnr_flow/nv_flow/hib/ipo4040/nbu_signoff[0m
cscore,NDQ,1836118,/home/scratch.ynaim_vlsi_1/agur/PFNL/cscore/cscore.cscore_rbv_2025_12_07_condb_int4_2025_12_04_1_BE_PFNL_snap[0m
dqs,QNS,1786907,/home/scratch.abarman_vlsi_2/agur/OFFICAL_APPROVED_PFNL/DQS/run1/dqs_rbv_2025_12_07_agur_condb_int4_2025_12_04_1_PFNL_snap_run1/pnr_flow/nv_flow/dqs/ipo1001_eco4/nbu_signoff[0m
ccorea,HPORT,1666429,/home/scratch.arcohen_vlsi_1/agur/channels/ccorea_0812/ccorea_rbv_2025_12_07_condb_int4_2025_12_04_1_BE_PFNL_snap_ref_rerun_pnr_with_prev_setup/pnr_flow/nv_flow/ccorea/ipo1943/nbu_signoff[0m
px,NDQ,1521485,/home/scratch.aamsalem_vlsi/agur/px/PFNL/run_15_12_new_flow_dont_use/px_rbv_2025_12_07_agur_condb_int4_2025_12_04_1_PFNL_snap_15_12_new_flow/pnr_flow/nv_flow/px/ipo1094/nbu_signoff[0m
bta,TCB,1493551,/home/scratch.vliberchuk_vlsi_1/agur/1nl/bta/bta_2025_12_07_Dec08_PFNL/pnr_flow/nv_flow/bta/ipo1237_chipletfix_of1236/nbu_signoff[0m
qcorer,QNS,1448412,/home/scratch.hmendelovich_vlsi_1/qcorer/qcorer_2025_12_23_DEC11_PFNL_TAG_Previous_LibSnap_NVISM_ROSC_FIX/pnr_flow/nv_flow/qcorer/ipo1305/nbu_signoff[0m
qcorel,QNS,1313460,/home/scratch.hmendelovich_vlsi_1/qcorel/qcorel_2025_12_15_DEC11_PFNL_TAG_Previous_LibSnap/pnr_flow/nv_flow/qcorel/ipo1209/nbu_signoff[0m
lndm,NDQ,1307441,/home/scratch.shlomoc_vlsi_1/agur/lndm/run_10_12_2025_lndm_rbv_2025_12_09_pfnl_c/pnr_flow/nv_flow/lndm/ipo1013/nbu_signoff[0m
sma,NDQ,1223518,/home/scratch.shlomoc_vlsi/agur/sma/run_08_12_2025_sma_rbv_2025_12_07_pfnl_d/pnr_flow/nv_flow/sma/ipo1006/nbu_signoff[0m
prtm,NDQ,1162239,/home/scratch.lmustafa_vlsi_1/agur/prtm/prtm_rbv_2025_12_07_agur_condb_int4_2025_12_04_1_PFNL_snap_PFNL/pnr_flow/nv_flow/prtm/ipo1063/nbu_signoff[0m
ccoref,HPORT,1145144,/home/scratch.brachas_vlsi_2/agur/PFNL/ccoref/ccoref_rbv_2025_12_07_condb_int4_2025_12_04_1_BE_PFNL_snap_test_2_dec01_cfg/pnr_flow/nv_flow/ccoref/ipo1501/nbu_signoff[0m
prt,CPORT,1083596,/home/scratch.ykatzav_vlsi/agur/prt/prt_rbv_2025_12_07_agur_condb_int4_2025_12_04_1_PFNL_snap_power/pnr_flow/nv_flow/prt/ipo1324/nbu_signoff[0m
fwas,NDQ,1070628,/home/scratch.ronil_vlsi_1/agur/ndq_units/fwas/fwas_pfnl_1/pnr_flow/nv_flow/fwas/ipo1040/nbu_signoff[0m
fdbs,NDQ,1003889,/home/scratch.brachas_vlsi_1/agur/PFNL/fdbs/fdbs_rbv_2025_12_07_agur_condb_int4_2025_12_04_1_PFNL_snap_test_1/pnr_flow/nv_flow/fdbs/ipo3001/nbu_signoff[0m
eri,TCB,892170,/home/scratch.hsajwan_vlsi/agur/PFNL_Final/eri/eri_rbv_2025_12_07_agur_condb_int4_2025_12_04_1_PFNL_snap_pfnl_rerun/pnr_flow/nv_flow/eri/ipo4034_eco3/nbu_signoff[0m
fthm,NDQ,884437,/home/scratch.ayerushalmy_vlsi_2/agur/fthm/PFNL/fthm_rbv_2025_12_08_agur_condb_int4_2025_12_04_1_PFNL_snap_2/pnr_flow/nv_flow/fthm/ipo3007/nbu_signoff[0m
dqax,QNS,854074,/home/scratch.hmendelovich_vlsi_1/dqax/dqax_2025_12_09_DEC11_PFNL_TAG/pnr_flow/nv_flow/dqax/ipo1050/nbu_signoff[0m
tds,QNS,776456,/home/scratch.hsajwan_vlsi/agur/PFNL_Final/tds/tds_rbv_2025_12_07_agur_condb_int4_2025_12_04_1_PFNL_snap_pfnl_rerun/pnr_flow/nv_flow/tds/ipo4043_eco4/nbu_signoff[0m
pmux,CPORT,772215,/home/scratch.brachas_vlsi_2/agur/PFNL/pmux/pmux_rbv_2025_12_07_agur_condb_int4_2025_12_04_1_PFNL_snap_lib_snap_20250819/pnr_flow/nv_flow/pmux/ipo3001/nbu_signoff[0m
fth,CPORT,737267,/home/scratch.lmustafa_vlsi_1/agur/fth/fth_rbv_2025_12_08_agur_condb_int4_2025_12_04_1_PFNL_snap_power/pnr_flow/nv_flow/fth/ipo1052/nbu_signoff[0m
fdbm,NDQ,645680,/home/scratch.dkolesnikov_vlsi_2/agur/fdbm/PFNL/slcg_fixing_runs/fdbm_rbv_2025_12_16_agur_condb_int4_2025_12_04_1_PFNL__run1_identical_fp/pnr_flow/nv_flow/fdbm/ipo1060/nbu_signoff[0m
ftos,NDQ,629950,/home/scratch.thadad_vlsi/agur/PFNL/ftos/ftos_rbv_2025_12_07_condb_int4_2025_12_04_1_PFNL_snap/pnr_flow/nv_flow/ftos/ipo1070/nbu_signoff[0m
tecorer,QNS,332905,/home/scratch.hsajwan_vlsi/agur/PFNL_Final/tecorer/tecorer_rbv_2025_12_07_condb_int4_2025_12_04_1_BE_PFNL_snap_pfnl_rerun/pnr_flow/nv_flow/tecorer/ipo4021_eco2/nbu_signoff[0m
clr,NDQ,300735,/home/scratch.ayerushalmy_vlsi_2/agur/clr/PFNL/clr_rbv_2025_12_07_condb_int4_2025_12_04_1_BE_PFNL_snap_2/pnr_flow/nv_flow/clr/ipo1007/nbu_signoff[0m
tecorel,QNS,289273,/home/scratch.gnarla_vlsi_1/agur/PFNL_official/tecorel/tecorel_rbv_2025_12_07_condb_int4_2025_12_04_1_BE_PFNL_snap_new_flow/pnr_flow/nv_flow/tecorel/ipo3002_eco/nbu_signoff[0m
clt,NDQ,47951,/home/scratch.aamsalem_vlsi/agur/clt/PFNL/run_16_12_lib_pins/clt_rbv_2025_12_08_agur_condb_pfnl_2025_12_08_1_psc_p2p_BE_PFNL_snap_16_12_lib_pins/pnr_flow/nv_flow/clt/ipo1071/nbu_signoff[0m
alm,TCB,38209,/home/scratch.tmazor_vlsi/agur/alm_rbv_2025_12_09_agur_condb_int4_2025_12_04_1_BE_PFNL_snap_fp3/pnr_flow/nv_flow/alm/ipo4040/nbu_signoff[0m
pscb,NDQ,11902,/home/scratch.nkahaz_vlsi_1/ww50_2_pfnl/pscb_rbv_2025_12_07_agur_condb_int4_2025_12_04_1_PFNL_snap/pnr_flow/nv_flow/pscb/ipo1110/nbu_signoff[0m
yc_fuse,TOP_YC,1766,/home/scratch.lhaiby_vlsi/Agur/yc_fuse_agur_rbv_2025_08_11_condb_int3_2025_07_31_1_1NL_snap[0m
